web_scraper_order,web_scraper_start_url,data
"1774426831-449","https://musicbrainz.org/genres","country"
"1774426831-450","https://musicbrainz.org/genres","country and irish"
"1774426831-451","https://musicbrainz.org/genres","country blues"
"1774426831-452","https://musicbrainz.org/genres","country boogie"
"1774426831-453","https://musicbrainz.org/genres","country folk"
"1774426831-454","https://musicbrainz.org/genres","country gospel"
"1774426831-455","https://musicbrainz.org/genres","country pop"
"1774426831-456","https://musicbrainz.org/genres","country rap"
"1774426831-457","https://musicbrainz.org/genres","country rock"
"1774426831-458","https://musicbrainz.org/genres","country soul"
"1774426831-459","https://musicbrainz.org/genres","country yodeling"
"1774426831-460","https://musicbrainz.org/genres","countrypolitan"
"1774426831-461","https://musicbrainz.org/genres","coupé-décalé"
"1774426831-462","https://musicbrainz.org/genres","cowboy poetry"
"1774426831-463","https://musicbrainz.org/genres","cowpunk"
"1774426831-464","https://musicbrainz.org/genres","crack rock steady"
"1774426831-465","https://musicbrainz.org/genres","crime jazz"
"1774426831-466","https://musicbrainz.org/genres","crossbreed"
"1774426831-467","https://musicbrainz.org/genres","crossover jazz"
"1774426831-468","https://musicbrainz.org/genres","crossover prog"
"1774426831-469","https://musicbrainz.org/genres","crossover thrash"
"1774426831-470","https://musicbrainz.org/genres","cruise"
"1774426831-471","https://musicbrainz.org/genres","crunk"
"1774426831-472","https://musicbrainz.org/genres","crunkcore"
"1774426831-473","https://musicbrainz.org/genres","crust punk"
"1774426831-474","https://musicbrainz.org/genres","csárdás"
"1774426831-475","https://musicbrainz.org/genres","cuarteto"
"1774426831-476","https://musicbrainz.org/genres","cubatón"
"1774426831-477","https://musicbrainz.org/genres","cuddlecore"
"1774426831-478","https://musicbrainz.org/genres","cueca"
"1774426831-479","https://musicbrainz.org/genres","cumbia"
"1774426831-480","https://musicbrainz.org/genres","cumbia amazónica"
"1774426831-481","https://musicbrainz.org/genres","cumbia argentina"
"1774426831-482","https://musicbrainz.org/genres","cumbia chilena"
"1774426831-483","https://musicbrainz.org/genres","cumbia colombiana"
